wavenumber,s1t1,s1t2,s1t3,s2t1,s2t2,s2t3,s3t1,s3t2,s3t3,s4t1,s4t2,s4t3,s5t1,s5t2,s5t3,s6t1,s6t2,s6t3,s7t1,s7t2,s7t3,s8t1,s8t2,s8t3,s9t1,s9t2,s9t3,s10t1,s10t2,s10t3,s11t1,s11t2,s11t3,s12t1,s12t2,s12t3,s13t1,s13t2,s13t3
1.683552E+03,4.480064E-02,4.452276E-02,4.696211E-02,1.690441E-02,1.595847E-02,1.867716E-02,2.194762E-02,2.398451E-02,2.665612E-02,3.019502E-02,3.773248E-02,3.647787E-02,2.202207E-02,2.718855E-02,1.578670E-02,2.515206E-02,2.433551E-02,3.011820E-02,3.991839E-02,3.611433E-02,3.362682E-02,2.433579E-02,2.223210E-02,2.418751E-02,3.176160E-02,3.789970E-02,3.618430E-02,1.729838E-02,1.914919E-02,2.280829E-02,2.401424E-02,2.887304E-02,3.112269E-02,3.427639E-02,4.037060E-02,4.240591E-02,1.636895E-02,1.369954E-02,1.793777E-02
1.684034E+03,4.532921E-02,4.497796E-02,4.737737E-02,1.745581E-02,1.646712E-02,1.914195E-02,2.243439E-02,2.448247E-02,2.709804E-02,3.059096E-02,3.808312E-02,3.684686E-02,2.242427E-02,2.756969E-02,1.608625E-02,2.547958E-02,2.461826E-02,3.040265E-02,4.014540E-02,3.638807E-02,3.386962E-02,2.459137E-02,2.245860E-02,2.448906E-02,3.202212E-02,3.811994E-02,3.640926E-02,1.754029E-02,1.944369E-02,2.311749E-02,2.422794E-02,2.907394E-02,3.130455E-02,3.459824E-02,4.065690E-02,4.261603E-02,1.667673E-02,1.403167E-02,1.827810E-02
1.684516E+03,4.539552E-02,4.500717E-02,4.731970E-02,1.754992E-02,1.651954E-02,1.915816E-02,2.245891E-02,2.449295E-02,2.709318E-02,3.048997E-02,3.790870E-02,3.670074E-02,2.234152E-02,2.743367E-02,1.591196E-02,2.532940E-02,2.442246E-02,3.019318E-02,3.985381E-02,3.610932E-02,3.358680E-02,2.435156E-02,2.221658E-02,2.429048E-02,3.179939E-02,3.787664E-02,3.616489E-02,1.727824E-02,1.922593E-02,2.290944E-02,2.396147E-02,2.879896E-02,3.101758E-02,3.446065E-02,4.044701E-02,4.236376E-02,1.653300E-02,1.392460E-02,1.815845E-02
1.684998E+03,4.508322E-02,4.468718E-02,4.689526E-02,1.729951E-02,1.623571E-02,1.884845E-02,2.214838E-02,2.414838E-02,2.676063E-02,3.004860E-02,3.738587E-02,3.620299E-02,2.192894E-02,2.694882E-02,1.544247E-02,2.487159E-02,2.392636E-02,2.967029E-02,3.924140E-02,3.548901E-02,3.298083E-02,2.380391E-02,2.169011E-02,2.377181E-02,3.128653E-02,3.734460E-02,3.563494E-02,1.672369E-02,1.869978E-02,2.238802E-02,2.341330E-02,2.824080E-02,3.045407E-02,3.401738E-02,3.991378E-02,4.182037E-02,1.610988E-02,1.353580E-02,1.774854E-02
1.685480E+03,4.456064E-02,4.417627E-02,4.628376E-02,1.688501E-02,1.579481E-02,1.839154E-02,2.168997E-02,2.364458E-02,2.627875E-02,2.947042E-02,3.673262E-02,3.556492E-02,2.138405E-02,2.632458E-02,1.487675E-02,2.430776E-02,2.333071E-02,2.904124E-02,3.852572E-02,3.475840E-02,3.227263E-02,2.315631E-02,2.107985E-02,2.314024E-02,3.069148E-02,3.671902E-02,3.501840E-02,1.609605E-02,1.808604E-02,2.177542E-02,2.279153E-02,2.760294E-02,2.981570E-02,3.345726E-02,3.926273E-02,4.117921E-02,1.560064E-02,1.304788E-02,1.724345E-02
1.685962E+03,4.398322E-02,4.362177E-02,4.564389E-02,1.646468E-02,1.535012E-02,1.793939E-02,2.124325E-02,2.314873E-02,2.580028E-02,2.892000E-02,3.611926E-02,3.495616E-02,2.086436E-02,2.572778E-02,1.436314E-02,2.379309E-02,2.278612E-02,2.846359E-02,3.786770E-02,3.408769E-02,3.162463E-02,2.256671E-02,2.053606E-02,2.255523E-02,3.016497E-02,3.614519E-02,3.445932E-02,1.555362E-02,1.754843E-02,2.123587E-02,2.224542E-02,2.703214E-02,2.924704E-02,3.292643E-02,3.865108E-02,4.058257E-02,1.514906E-02,1.259907E-02,1.678947E-02
1.686444E+03,4.345289E-02,4.312042E-02,4.507503E-02,1.613433E-02,1.499249E-02,1.758100E-02,2.090065E-02,2.275902E-02,2.541673E-02,2.848761E-02,3.563555E-02,3.446947E-02,2.045540E-02,2.525175E-02,1.397432E-02,2.340693E-02,2.236799E-02,2.801784E-02,3.734662E-02,3.356056E-02,3.111663E-02,2.211769E-02,2.013366E-02,2.210159E-02,2.977623E-02,3.569408E-02,3.402375E-02,1.517105E-02,1.716668E-02,2.084917E-02,2.184336E-02,2.659616E-02,2.881320E-02,3.249950E-02,3.815822E-02,4.009845E-02,1.482453E-02,1.225845E-02,1.645704E-02
1.686927E+03,4.301721E-02,4.271560E-02,4.461895E-02,1.592880E-02,1.475405E-02,1.734589E-02,2.069067E-02,2.250787E-02,2.516073E-02,2.819741E-02,3.530201E-02,3.412926E-02,2.018028E-02,2.492489E-02,1.372142E-02,2.316372E-02,2.208977E-02,2.772001E-02,3.697651E-02,3.319123E-02,3.076243E-02,2.182918E-02,1.988520E-02,2.180075E-02,2.952943E-02,3.537681E-02,3.371608E-02,1.495459E-02,1.695078E-02,2.062517E-02,2.158901E-02,2.630029E-02,2.851595E-02,3.219055E-02,3.779844E-02,3.973535E-02,1.463402E-02,1.203690E-02,1.625384E-02
1.687409E+03,4.268968E-02,4.241541E-02,4.428097E-02,1.584027E-02,1.462672E-02,1.722242E-02,2.059693E-02,2.238237E-02,2.502396E-02,2.802996E-02,3.509480E-02,3.391551E-02,2.002199E-02,2.473417E-02,1.357761E-02,2.303527E-02,2.192650E-02,2.754547E-02,3.673226E-02,3.295274E-02,3.053632E-02,2.168088E-02,1.976222E-02,2.163383E-02,2.938930E-02,3.516826E-02,3.350500E-02,1.486705E-02,1.686590E-02,2.053026E-02,2.144671E-02,2.611151E-02,2.831952E-02,3.197693E-02,3.754635E-02,3.946763E-02,1.454500E-02,1.190996E-02,1.614801E-02
1.687891E+03,4.245768E-02,4.220138E-02,4.404079E-02,1.583336E-02,1.457745E-02,1.717375E-02,2.057702E-02,2.234120E-02,2.497142E-02,2.794083E-02,3.496740E-02,3.378334E-02,1.994122E-02,2.464099E-02,1.349974E-02,2.297210E-02,2.183538E-02,2.744836E-02,3.657009E-02,3.279838E-02,3.039387E-02,2.162923E-02,1.971475E-02,2.155791E-02,2.930627E-02,3.502784E-02,3.334676E-02,1.485128E-02,1.685567E-02,2.051008E-02,2.136540E-02,2.598130E-02,2.817376E-02,3.181921E-02,3.735807E-02,3.925671E-02,1.450806E-02,1.183764E-02,1.609165E-02
